iter	RMSE
0	7489.476363
1	7245.887758
2	7029.697153
3	6812.229813
4	6604.111094
5	6414.079435
6	6202.884833
7	6026.400264
8	5848.704481
9	5682.584054
10	5490.454329
11	5323.082349
12	5177.845593
13	5021.665374
14	4911.774865
15	4782.713508
16	4638.023731
17	4502.021758
18	4385.549125
19	4263.519606
20	4145.354573
21	4048.327422
22	3950.694197
23	3848.589826
24	3757.955222
25	3674.963813
26	3586.698749
27	3505.515636
28	3434.479026
29	3354.101237
30	3282.174125
31	3212.861055
32	3131.131148
33	3066.865065
34	2998.045119
35	2935.59242
36	2880.674988
37	2837.557464
38	2782.677995
39	2728.62461
40	2690.639368
41	2648.977026
42	2604.775663
43	2567.234602
44	2530.819807
45	2495.312734
46	2458.133887
47	2419.13861
48	2386.952972
49	2355.121661
50	2321.123437
51	2291.118295
52	2259.921957
53	2235.525813
54	2213.039997
55	2191.844588
56	2171.426349
57	2150.673471
58	2128.176386
59	2106.626467
60	2084.720065
61	2073.376873
62	2059.425305
63	2037.911067
64	2027.241835
65	2008.168514
66	1989.677177
67	1983.605189
68	1964.267613
69	1947.470687
70	1928.924945
71	1921.466676
72	1910.40828
73	1890.51279
74	1880.775399
75	1870.10356
76	1860.828891
77	1852.876443
78	1845.279673
79	1836.286718
80	1817.910449
81	1808.818686
82	1801.365985
83	1793.89489
84	1789.059347
85	1784.025948
86	1773.647471
87	1766.70177
88	1752.089661
89	1737.677228
90	1732.087572
91	1726.081376
92	1719.057147
93	1712.146219
94	1706.993897
95	1700.624036
96	1693.803
97	1689.927186
98	1684.927624
99	1679.383045
100	1673.880516
101	1670.930999
102	1665.066189
103	1658.338236
104	1646.214703
105	1636.853946
106	1627.341966
107	1622.690888
108	1607.216109
109	1596.324796
110	1582.750669
111	1578.150276
112	1572.609621
113	1568.56981
114	1564.859479
115	1561.059393
116	1557.358976
117	1553.201444
118	1548.533174
119	1544.149436
120	1533.376316
121	1529.229083
122	1525.906423
123	1522.964845
124	1513.972373
125	1509.544386
126	1505.314515
127	1501.652644
128	1498.407349
129	1493.365427
130	1481.736469
131	1477.329316
132	1473.36614
133	1469.677801
134	1466.171068
135	1461.059214
136	1454.325462
137	1449.820747
138	1446.146025
139	1442.272648
140	1439.023114
141	1435.34831
142	1426.690887
143	1415.015296
144	1411.56151
145	1408.708809
146	1404.858068
147	1401.114843
148	1390.591323
149	1380.666376
150	1373.900662
151	1364.594736
152	1361.361779
153	1358.185801
154	1355.154639
155	1345.845953
156	1336.726802
157	1330.264436
158	1327.387023
159	1318.132621
160	1310.025653
161	1302.432361
162	1293.613656
163	1289.934849
164	1282.149092
165	1274.307696
166	1267.701942
167	1262.204798
168	1259.343014
169	1255.975242
170	1253.307185
171	1249.858216
172	1247.199146
173	1240.854097
174	1238.281785
175	1235.495288
176	1232.981129
177	1230.06651
178	1227.559291
179	1225.090803
180	1221.454368
181	1218.963303
182	1216.065554
183	1210.590139
184	1208.006784
185	1205.852176
186	1201.363982
187	1199.120289
188	1196.920932
189	1194.858767
190	1192.594781
191	1190.455282
192	1188.143137
193	1183.735146
194	1176.996859
195	1175.049092
196	1172.922795
197	1170.832244
198	1168.644496
199	1166.44977
200	1164.325906
201	1162.482321
202	1160.405693
203	1158.511772
204	1156.625012
205	1154.759722
206	1152.67084
207	1150.867971
208	1148.945176
209	1147.05346
210	1145.199641
211	1143.342557
212	1141.532511
213	1139.87219
214	1137.897804
215	1136.280305
216	1134.563382
217	1132.975809
218	1131.301803
219	1124.555217
220	1122.485705
221	1120.836638
222	1115.72432
223	1114.104234
224	1105.890986
225	1104.279908
226	1102.698853
227	1100.746191
228	1098.95994
229	1097.423278
230	1096.014525
231	1089.414833
232	1087.904526
233	1086.52056
234	1082.701223
235	1077.166592
236	1075.686341
237	1074.338943
238	1072.808381
239	1071.296807
240	1069.780229
241	1067.717041
242	1066.312342
243	1057.578513
244	1051.508632
245	1050.108678
246	1045.722579
247	1044.014724
248	1042.642731
249	1035.708115
250	1033.798523
251	1030.669179
252	1025.591546
253	1024.13603
254	1022.718041
255	1021.414081
256	1017.246589
257	1015.925666
258	1014.643955
259	1010.641137
260	1007.71243
261	1001.953066
262	1000.559776
263	999.2068039
264	995.5249031
265	993.4456671
266	992.0756802
267	990.7246487
268	989.386952
269	988.0630413
270	986.8678042
271	985.5648632
272	984.2091605
273	982.9302513
274	981.669802
275	980.4123059
276	979.2727544
277	978.044027
278	976.9116828
279	975.7698465
280	974.6664012
281	971.0782258
282	969.7894795
283	963.4849773
284	962.2129942
285	961.0284322
286	959.4789551
287	958.3127964
288	957.0889466
289	955.7196474
290	954.6564074
291	948.8689805
292	942.8435465
293	941.7728015
294	940.6127868
295	939.4153412
296	938.2334634
297	937.1074903
298	935.9538633
299	932.7501671
300	931.6136331
301	928.564145
302	927.4453362
303	926.1070031
304	925.0189094
305	920.8576744
306	919.7607895
307	918.6793577
308	915.9324503
309	914.8630089
310	913.7982255
311	912.7431215
312	911.6977633
313	910.5137392
314	909.4749945
315	908.4419524
316	907.2965413
317	906.1697468
318	905.0781363
319	904.0625651
320	903.0506106
321	896.887228
